# ==============================================================================
# Signal samples
# ==============================================================================

# H125
# ------------------------------------------------------------------------------

PowhegPy8_NNLOPS_ggH125     mc16_13TeV.343981.PowhegPythia8EvtGen_NNLOPS_nnlo_30_ggH125_gamgam
MGPy8_C1N2N1_GGMHinohyy_130_2G15 397070
MGPy8_C1N2N1_GGMHinohyy_150_2G15 397071
MGPy8_C1N2N1_GGMHinohyy_200_2G15 397072
MGPy8_C1N2N1_GGMHinohyy_300_2G15 397073
MGPy8_C1N2N1_GGMHinohyy_400_2G15 397074
MGPy8_C1N2N1_GGMHinohyy_500_2G15 397075
MGPy8_C1N2N1_GGMHinohyy_600_2G15 397076
MGPy8_C1N2N1_GGMHinohyy_800_2G15 397077
MGPy8_C1N2N1_GGMHinohyy_1000_2G15 398173
MGPy8_C1N2N1_GGMHinohyy_1200_2G15 398174

# SUSY GGMHinoZhyy
# ------------------------------------------------------------------------------

MGPy8_C1N2N1_GGMHinoZhyy_130_2G15 397078
MGPy8_C1N2N1_GGMHinoZhyy_150_2G15 397079
MGPy8_C1N2N1_GGMHinoZhyy_200_2G15 397080
MGPy8_C1N2N1_GGMHinoZhyy_300_2G15 397081
MGPy8_C1N2N1_GGMHinoZhyy_400_2G15 397082
MGPy8_C1N2N1_GGMHinoZhyy_500_2G15 397083
MGPy8_C1N2N1_GGMHinoZhyy_600_2G15 397084
MGPy8_C1N2N1_GGMHinoZhyy_800_2G15 397085
MGPy8_C1N2N1_GGMHinoZhyy_1000_2G15 398175
MGPy8_C1N2N1_GGMHinoZhyy_1200_2G15 398176


# HHDmr
# ------------------------------------------------------------------------------

MGPy8_HHDMmr275mx60br50_DMgamgam 342249

# H + MET
# ------------------------------------------------------------------------------
Pythia8_H300_S140_S140yy     344226
Pythia8_H300_S140_h125yy     344227
Pythia8_H300_S140yy_h125     344228

Pythia8_A350_Z_jj_H250_yy    345343
Pythia8_A350_Z_vv_H250_yy    345344
Pythia8_A400_Z_jj_H250_yy    345062
Pythia8_A400_Z_vv_H250_yy    345063
Pythia8_R450_S160_jj_H250_yy 345347
Pythia8_R450_S160_vv_H250_yy 345348
Pythia8_R420_S160_jj_H250_yy 345351
Pythia8_R420_S160_vv_H250_yy 345352

# mono-Higgs
# ------------------------------------------------------------------------------
MGPy8_zphxx_gg_mzp10_mx1 342101
MGPy8_zphxx_gg_mzp10_mx10 344314
MGPy8_zphxx_gg_mzp10_mx50 344315
MGPy8_zphxx_gg_mzp10_mx150 342106
MGPy8_zphxx_gg_mzp20_mx1 344318
MGPy8_zphxx_gg_mzp20_mx10 344319
MGPy8_zphxx_gg_mzp20_mx50 344320
MGPy8_zphxx_gg_mzp20_mx150 344321
MGPy8_zphxx_gg_mzp50_mx1 344324
MGPy8_zphxx_gg_mzp50_mx10 344325
MGPy8_zphxx_gg_mzp50_mx50 344326
MGPy8_zphxx_gg_mzp50_mx150 344327
MGPy8_zphxx_gg_mzp100_mx1 344330
MGPy8_zphxx_gg_mzp100_mx10 344331
MGPy8_zphxx_gg_mzp100_mx50 344332
MGPy8_zphxx_gg_mzp100_mx150 344333
MGPy8_zphxx_gg_mzp200_mx1 342102
MGPy8_zphxx_gg_mzp200_mx10 344336
MGPy8_zphxx_gg_mzp200_mx50 344337
MGPy8_zphxx_gg_mzp200_mx150 342107
MGPy8_zphxx_gg_mzp295_mx150 342108
MGPy8_zphxx_gg_mzp300_mx1 342103
MGPy8_zphxx_gg_mzp300_mx10 344340
MGPy8_zphxx_gg_mzp300_mx50 344341
MGPy8_zphxx_gg_mzp500_mx1 344344
MGPy8_zphxx_gg_mzp500_mx10 344345
MGPy8_zphxx_gg_mzp500_mx50 344346
MGPy8_zphxx_gg_mzp500_mx150 344347
MGPy8_zphxx_gg_mzp1000_mx1 344350
MGPy8_zphxx_gg_mzp1000_mx10 344351
MGPy8_zphxx_gg_mzp1000_mx50 344352
MGPy8_zphxx_gg_mzp1000_mx150 344353
MGPy8_zphxx_gg_mzp1000_mx1000 342109
MGPy8_zphxx_gg_mzp1995_mx1000 342110
MGPy8_zphxx_gg_mzp2000_mx1 342104
MGPy8_zphxx_gg_mzp10000_mx1 342105

MGPy8_zp2hdmxx_gg_mzp400_mA200 312866
